
2024/07/31 (12:12:26) | ===> btop++ v.1.3.2
2024/07/31 (12:12:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (13:00:04) | ===> btop++ v.1.3.2
2024/07/31 (13:00:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (13:00:18) | ===> btop++ v.1.3.2
2024/07/31 (13:00:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (16:02:10) | ===> btop++ v.1.3.2
2024/07/31 (16:02:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (16:02:17) | ===> btop++ v.1.3.2
2024/07/31 (16:02:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (16:03:26) | ===> btop++ v.1.3.2
2024/07/31 (16:03:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (17:25:45) | ===> btop++ v.1.3.2
2024/08/11 (17:25:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (19:34:29) | ===> btop++ v.1.3.2
2024/08/11 (19:34:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/11 (19:35:31) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/08/11 (19:35:35) | ===> btop++ v.1.3.2
2024/08/11 (19:35:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (17:05:36) | ===> btop++ v.1.3.2
2024/08/12 (17:05:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/14 (14:12:52) | ===> btop++ v.1.3.2
2024/08/14 (14:12:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (10:50:22) | ===> btop++ v.1.3.2
2024/09/13 (10:50:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (19:57:22) | ===> btop++ v.1.3.2
2024/09/16 (19:57:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/20 (16:37:09) | ===> btop++ v.1.4.0
2024/10/20 (16:37:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/20 (16:37:09) | WARNING: Intel GPU: Failed to initialize PMU
